author,title,classification_number,source_row
"Tan, Sue Lynn,",Sue Lynn Tan.,PR9450.9.T37,522
"Silver, Elsie.",Powerless,.S556 2023,523
Homer.,The Odyssey,PR9199.4.H8585,524
Emily St. John Mandel.,Sea of Tranquility: A novel,.S43 2022,525
"Mandel, Emily St. John,",The glass hotel,PR9199.4.M3347,526
author.,The long game,PR9155.9.A76,527
"Thomas, Stacey.",The revels,.R48 2023,528
"Stott, Rebecca,",Rebecca Stott.,PR6119.T69,529
"Сэйнт, Дженнифер.",Электра,PR6119.A359,530
"Osman, Richard,",The man who died twice,PR6115.S58,531
"Osman, Richard,",The last devil to die,PR6115.S58,532
"Marrs, John.",The One,PR6113.A7656,533
"Мохамед, Надифа.",Надифа Мохамед.,PR6113.O364,534
"Lyons, Annie.",Энни Лайонс.,PR6112.Y64,535
"Foley, Lucy.",The Guest List,PR6106.O44,536
"Feeney, Alice.",Daisy Darker,PR6106.E34427,537
"Fellowes, Jessica.",Jessica Fellowes.,PR6106.E398,538
"Эванс, Диана.",Обычные люди,PR6105.V345,539
"Carey, M. R.",The Boy on the Bridge,PR6103.A72,540
"Oseman, Alice.",Nick and Charlie,PR6100.S46,541
"Хардинг, Фрэнсис.",Фрэнсис Хардинг.,PR6100,542
"Тойбин, Колм.",Колм Тойбин.,PR6070.O455,543
"Rutherfurd, Edward.",Sarum,.S27 2018,544
"Galbraith, Robert.",The Silkworm,.S56 2014,545
"Galbraith, Robert.",Robert Galbraith.,PR6068.O93,546
"Пратчетт, Терри.",Терри Пратчетт.,PR6066.R34,547
"Майер, Шеннон.",Шеннон Майер.,PR6063,548
"Harris, Joanne.",Joanne Harris.,PR6058.A68838,549
"Гейман, Нил.",Сыновья Ананси,.S51 2023,550
Гейман Нил.,Нил Гейман.,PR6057.A319,551
"Fielding, Helen.",Helen Fielding.,PR6056.I4588,553
"Колган, Дженни.",Книжный магазинчик счастья,PR6053.O4225,554
"Woolf, V.",Virginia Woolf.,.Z474 2024,555
"Woolf, Virginia.",Virginia Woolf.,PR6045.O72,556
"Tolkien, J. R. R.",The Children of Húrin,PR6039.O32,557
"Tolkien, J. R. R.",Tales from the Perilous Realm,.T35 2021,558
"Lawrence, D. H.",Lady Chatterley's Lover,PR6023.A93,559
"Tolkien, J. R. R.",The Battle of Maldon,PR6039.O32,560
"Tolkien, J. R. R.",Unfinished Tales,PR6039.O32,561
"Tolkien, J. R. R.",The Nature of Middle-Earth,PR6039.O32,562
"Бити, Эрин.",Эрин Бити.,PR6123,563
"Vaughan, Sarah.",Sarah Vaughan.,PR6122.A85,564
"Christie, Agatha.",Nemesis,PR6005.H66,565
"Торогуд, Роберт.",Смерть на Темзе,PR6120.H6775,566
"Норт, Клэр.",Пряжа Пенелопы,PR6114.O777,567
"Маррс, Джон.",Когда ты исчез,PR6113.A768,568
"Richau, Amy.",Star Wars the High Republic Character Encyclopedia,PR6113.A546,569
"Фейн, Луиза.",роман,PR6106.E985,570
"Диас, Элоиса.",Элоиса Диас.,.R47 2023,571
"Драйзер, Теодор.",Теодор Драйзер.,PR6103.H6838,572
"Joyce, James.",The Dead,PR6019.09,573
"Голдинг, Уильям.",Уильям Голдинг.,PR6013.O35,574
"Валентайн, Карла.",Рецепт убийства. Криминалистика Агаты Кристи глазами эксперта,.V15 2023,575
"Christie, Agatha.",Marple Twelve New Stories,PR6005.H66,576
"Christie, Agatha.",Dumb Witness,PR6005.H66,577
"Christie, Agatha.",A Pocket Full of Rye,PR6005.H66,578
"Christie, Agatha.",Crooked House,PR6005.H66,579
"Christie, Agatha.",The Mirror Crack'd from Side to Side,PR6005.H66,580
"Christie, Agatha.",At Bertram's Hotel,PR6005.H66,581
"Christie, Agatha.",The Moving Finger,PR6005.H66,582
"Christie, Agatha.",Towards Zero,.T6 2017,583
"Christie, Agatha.",Murder in Mesopotamia,PR6005.H66,584
"Christie, Agatha.",Evil Under the Sun,PR6005.H66,585
"Christie, Agatha.",Death on the Nile,PR6005.H66,586
"Christie, Agatha.",Agatha Christie.,PR6005.H66,587
"Christie, Agatha.",Sinister Spring. Murder and Mystery from the Queen of Crime,.S5 2023,588
"Christie, Agatha.",The Mysterious Affair at Styles,PR6005.H66,589
"Christie, Agatha.",Five Little Pigs,PR6005.H66,590
"Christie, Agatha.",Dead Man's Folly,PR6005.H66,591
